Year	Month	Precip	PET-Thornwaite	PET_Hargreaves
2003	5	55.26073778	135.855948528967	190.168384787898
2003	6	137.3823315	146.618192854896	179.728020162148
2003	7	11.27767011	180.017584968751	195.59021067062
2003	8	43.28293766	176.170500356551	185.506513148073
2003	9	103.6413222	105.952217420097	130.133024728868
2003	10	100.53399934	69.7438232027295	104.021201700696
2003	11	14.03462559	31.1737089703982	65.2151243608632
2003	12	0	14.2243194703013	59.7785236714624
2004	1	32.94651868	14.0295027430337	55.7165806850837
2004	2	67.40437676	10.4085456065477	60.4850230214349
2004	3	43.87182567445	50.1242774236294	107.719882473814
2004	4	112.124856431	63.1053963334637	130.497806531744
2004	5	39.9349109	121.705234002874	175.5047933387
2004	6	125.7344326	151.261141256822	178.269859065242
2004	7	62.26693578	170.647898593036	187.416866776354
2004	8	121.5299736	148.873074376539	166.724505995174
2004	9	26.079223115	108.813247723859	134.155081734196
2004	10	107.9450572	74.2893569170787	98.0378477343347
2004	11	168.116378962	23.460136298206	58.7582386964773
2004	12	9.589383	10.7592749702603	54.495496272779
2005	1	26.5498298	15.6481491575752	57.2737889605364
2005	2	93.99682379	16.5449939964382	61.9632720815609
2005	3	53.8830070357	32.5439940038821	107.655502306129
2005	4	2.50027042	65.0389219016735	148.640983127225
2005	5	124.7976282644	110.396216107937	166.702884973753
2005	6	21.976438314	162.224492858615	188.107085091837
2005	7	49.7287939	181.663774220862	199.256797505962
2005	8	178.396265	157.938478797389	173.577252097009
2005	9	11.04580926	136.205900538189	156.687305200863
2005	10	54.133475182	64.2101706207748	102.587124382901
2005	11	0.00269948	32.293680826928	79.2346670102644
2005	12	0.264209	10.166845316907	57.1146492355704
2006	1	19.510006800232	20.5984741617876	71.8890947511574
2006	2	16.49860275	15.0207982456325	74.360232698344
2006	3	61.995204	47.9977159661023	114.001925616751
2006	4	46.5390643	94.3286292235264	160.994412231885
2006	5	69.0818333	135.701377053953	194.276212640446
2006	6	32.0612669	169.433023584452	203.628935240442
2006	7	7.5096674	193.91739771553	203.724858621388
2006	8	57.30082404	185.388401534366	184.686624594194
2006	9	46.7362559	104.069604227741	134.837463805005
2006	10	63.307756223	66.9451848524203	103.261059759948
2006	11	9.07854563	31.5427100559054	74.9753590319862
2006	12	11.9326455	11.5991183675269	54.2314719869336
2007	1	52.147549145195	3.84098194267294	43.7352673012989
2007	2	11.348343913	14.1346427147929	70.2221260344925
2007	3	142.3642821	49.5480297374923	112.54063896413
2007	4	64.390402435308	55.2161618321157	132.350679216078
2007	5	159.82989495868	102.338076206135	149.715464651378
2007	6	196.4921756342	143.232628242939	167.466745505446
2007	7	81.514912391169	152.831469519475	170.852751324249
2007	8	61.12860182733	164.299764905794	171.523786250351
2007	9	54.90842056	121.814390987479	136.704825409484
2007	10	19.462001792176	76.0818781811734	117.118131917595
2007	11	30.2145679	30.8162551404067	70.7145214496044
2007	12	8.6260965	11.4998238024779	57.7801219988793
2008	1	10.1912125	7.85250217330792	57.1327306653872
2008	2	4.21712807	21.2117890879671	84.0023570839283
2008	3	104.25533345093	40.3803308942996	120.170002489115
2008	4	60.1102123244	69.9710338963706	154.502267245219
2008	5	32.06805791	128.200058080534	191.179463350984
2008	6	41.83668235916	183.748307767635	201.089932733325
2008	7	16.600160888497	178.667087946283	198.112297556587
2008	8	92.332299492	158.894223618835	174.090232463265
2008	9	52.85794	99.67243609156	139.152085533024
2008	10	43.13099942	62.3999325296329	111.008157980054
2008	11	2.07248046	27.5065877843171	74.6544741802355
2008	12	0.024656625	12.0581013868236	58.8749142412956
2009	1	6.27009172	11.254136998066	66.0897184374127
2009	2	8.91167	25.4415039936916	84.5146424988808
2009	3	57.09405552	46.1990613438088	119.658415933097
2009	4	84.3915693	70.6531427119966	150.950147889152
2009	5	61.42473209	119.605673676898	180.241652592655
2009	6	55.4473691756	178.398312629208	199.271945582528
2009	7	103.129419897	191.574687260516	201.630847727731
2009	8	22.0916807	180.448790968189	193.464662610295
2009	9	136.4474092	103.999312926461	133.210874039833
2009	10	93.365632562	55.6460875652988	98.0812586934179
2009	11	1.030757754	29.4536986258035	75.8925256147053
2009	12	36.3951378	5.27092525934374	47.2223808587375
2010	1	79.661283736	6.77893232408173	54.0430247330092
2010	2	59.39213457	6.65147626472958	55.6095907718328
2010	3	38.767153872	31.0855079252055	112.220156231904
2010	4	63.0798298	66.7412231613582	137.471312020923
2010	5	59.543812228	119.327341453019	178.271772184557
2010	6	54.974649211	180.955859224028	195.253759747113
2010	7	90.3296944366	174.32953854026	176.154222783949
2010	8	25.7586606	192.341405890368	196.65602486064
2010	9	88.696909	126.393045806378	144.754293647236
2010	10	19.1476499675	69.8217921894475	119.328603072004
2010	11	0.0706547	28.4210985350435	76.3516587810525
2010	12	26.9107964	13.9094272271259	60.6864152319623
2011	1	0	7.64688009378205	59.7672296277239
2011	2	12.5778266416259	13.1073185991488	73.6790766722369
2011	3	2.106785107	54.3584627227948	132.105113113097
2011	4	42.432529122	101.543716724779	177.654149594376
2011	5	33.9583814135	130.158415281811	197.715249990231
2011	6	19.814723	208.393716641779	221.853126595981
2011	7	0.02020386	223.484878172358	215.899083240563
2011	8	21.191172	217.191886876666	206.301633504578
2011	9	15.41009066	124.90457764837	161.542096829291
2011	10	87.383869982	69.4372007457552	111.788618625573
2011	11	5.35239831027	29.8791085070509	72.1891334037886
2011	12	34.9406822108	8.51471226217018	44.9268596847756
2012	1	66.108809918	15.0712326923773	64.6373085483563
2012	2	49.4466960506	17.6682455575759	68.375400457674
2012	3	49.1524697005	53.4167491386753	120.889490157146
2012	4	17.913287085	96.9158071413336	164.422831179928
2012	5	87.910078085	135.24094340572	182.293440337618
2012	6	36.22873479	183.818353991824	205.274294149603
2012	7	34.1308175043	196.548180890266	206.383808432569
2012	8	19.17726955	188.541112051612	196.100704007031
2012	9	129.300524756	122.002821936777	144.275693175356
2012	10	6.8926193189	64.2222624381346	103.989324448964
2012	11	1.58094353	37.7061303968396	78.7053049049446
2012	12	0	16.2695078322293	61.1045228355511
2013	1	42.19357394	11.4512502790175	57.0717341450962
2013	2	2.691508415	17.4488921071542	75.45773840517
2013	3	3.30292440614	41.769573347502	122.522850331228
2013	4	46.492457709	66.7343978142471	151.558945642363
2013	5	85.3781351395	119.103099292546	184.796067791783
2013	6	64.54152442	174.674165843248	193.888145809738
2013	7	114.357209944	176.333139821241	189.910626333589
2013	8	15.580994976	181.585793081523	191.831908619404
2013	9	103.308831199	126.163934945996	145.705052825954
2013	10	21.5261405236	67.0325107914599	104.814831229405
2013	11	21.967675803	20.1460421863909	62.4435601254551
2013	12	23.71987847	6.70335605680821	50.4183915496979
2014	1	1.0700266366667	8.23331529175342	61.3485594574466
2014	2	0.94050068	12.2381338382118	70.5202153880176
2014	3	3.14503514182726	33.8177316348303	117.08484644807
2014	4	11.69249550525	76.5020892408167	152.49193419609
2014	5	120.12277748455	119.36353276611	189.061884256017
2014	6	69.993575919859	163.511514730489	179.795182740065
2014	7	52.774340100755	180.245966959452	193.464427010869
2014	8	18.78063833	179.288483530533	189.874363866287
2014	9	35.988741984269	120.39100037513	132.802739084407
2014	10	5.1096207769245	82.1041002430626	117.492859377035
2014	11	59.837784304317	19.8818005325276	64.4346091802359
2014	12	2.613117314929	16.6772549624119	50.2311877079351
2015	1	46.6482936306329	6.63659840131908	50.431858606559
2015	2	4.8214737956589	11.1508590208354	65.587586749869
2015	3	27.1647732026527	34.5142797201729	106.063939588039
2015	4	62.40202783804	75.347561136811	142.53935046672
2015	5	154.405440947942	108.384175988273	160.585404948329
2015	6	87.8876612979762	154.04930194121	178.370561662299
2015	7	33.3404466096143	189.881178063917	196.077238332121
2015	8	15.9913827498921	184.947360347359	197.461728633342
2015	9	14.911257166302	138.281496960041	154.583704205881
2015	10	67.52325278084	78.9836194826501	111.847586033324
2015	11	79.8073552698969	29.0656425963579	66.4021577597938
2015	12	48.2158977126807	16.0614519885835	60.4942194506242
2016	1	1.906077893917	9.9070944370932	58.6436088712291
2016	2	17.6983894607	22.1574905458958	82.9582633211144
2016	3	79.18845073731	47.765166793551	118.932811374949
2016	4	136.42622946219	69.8929736336406	144.185685795735
2016	5	213.018924507443	109.301341501677	169.234473949396
2016	6	78.0194505249	158.770970738633	183.883366868823
2016	7	5.28513254029	209.592740319465	210.53117519332
2016	8	100.9655615949	170.247224997427	174.121126713495
2016	9	120.8888279484	122.986864277618	137.963000276979
2016	10	5.97773726744	86.673833029913	116.019280560352
2016	11	60.8861458	39.8110276971424	69.7258770777082
2016	12	30.887343579978	13.2462009627476	52.2588779834794
